Gene ID	Gene Name	7 day	8 day	9 day	10 day	11 day	12 day	13 day	14 day	15 day	16 day
AT1G01010	NAC001	3.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0
AT1G01020	ARV1	7.0	7.0	7.0	11.0	5.0	8.0	11.0	8.0	9.0	18.0
AT1G01030	NGA3	0.4	0.5	0.2	0.4	0.2	0.4	0.2	0.2	0.9	2.0
AT1G01040	DCL1	5.0	6.0	6.0	10.0	3.0	8.0	11.0	9.0	9.0	12.0
AT1G01046	MIR838A	0.2	3.0	3.0	4.0	1.0	2.0	5.0	3.0	8.0	10.0
AT1G01050	PPA1	76.0	65.0	70.0	63.0	71.0	60.0	54.0	54.0	69.0	62.0
AT1G01060	LHY	0.3	0.2	0.2	0.3	0.4	0.4	0.7	0.6	0.8	0.6
AT1G01070	AT1G01070	65.0	59.0	58.0	28.0	28.0	19.0	7.0	4.0	0.1	0.1
AT1G01080	AT1G01080	23.0	19.0	17.0	17.0	18.0	20.0	17.0	16.0	26.0	36.0
AT1G01090	PDH-E1 ALPHA	121.0	107.0	95.0	82.0	73.0	77.0	72.0	90.0	108.0	106.0
AT1G01100	RPP1A	946.0	964.0	1078.0	890.0	1796.0	1063.0	941.0	981.0	1030.0	894.0
AT1G01110	IQD18	9.0	6.0	7.0	10.0	6.0	11.0	15.0	17.0	18.0	19.0
AT1G01120	KCS1	9.0	6.0	6.0	9.0	8.0	8.0	8.0	11.0	20.0	22.0
AT1G01130	AT1G01130	9.0	13.0	13.0	14.0	20.0	20.0	19.0	30.0	43.0	38.0
AT1G01140	CIPK9	7.0	5.0	4.0	6.0	5.0	6.0	8.0	14.0	28.0	34.0
AT1G01150	AT1G01150	3.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	1.0
AT1G01160	GIF2	27.0	38.0	36.0	46.0	35.0	42.0	48.0	43.0	43.0	51.0
AT1G01170	AT1G01170	40.0	37.0	44.0	33.0	54.0	40.0	34.0	35.0	60.0	82.0
AT1G01180	AT1G01180		0.1	0.1	0.1		0.2	0.2	0.3	0.1	0.3
AT1G01183	MIR165A	0.3	2.0	0.2	0.1	0.1	0.2	0.6	0.2		0.2
AT1G01190	CYP78A8	29.0	44.0	27.0	7.0	3.0	5.0	4.0	2.0	0.1	0.2
AT1G01200	RABA3	3.0	3.0	3.0	3.0	2.0	2.0	1.0	1.0	0.7	0.4
AT1G01210	AT1G01210	27.0	20.0	17.0	19.0	24.0	16.0	15.0	12.0	13.0	15.0
AT1G01220	FKGP	7.0	6.0	5.0	9.0	5.0	8.0	11.0	9.0	9.0	9.0
AT1G01225	AT1G01225	5.0	7.0	9.0	7.0	6.0	6.0	5.0	7.0	8.0	8.0
AT1G01230	AT1G01230	42.0	31.0	30.0	25.0	30.0	23.0	26.0	23.0	25.0	27.0
AT1G01240	AT1G01240	6.0	4.0	4.0	6.0	4.0	4.0	5.0	4.0	5.0	7.0
AT1G01250	ERF023	0.3	0.5	0.3	0.1	0.1	0.6	0.2	0.2	0.9	0.7
AT1G01260	BHLH13	10.0	9.0	9.0	14.0	6.0	11.0	13.0	12.0	12.0	13.0
AT1G01280	CYP703A2	0.3							0.1		
AT1G01290	CNX3	9.0	8.0	8.0	12.0	9.0	9.0	11.0	9.0	9.0	13.0
AT1G01300	APF2	134.0	154.0	155.0	119.0	156.0	131.0	120.0	130.0	111.0	106.0
AT1G01305	AT1G01305						0.2				
AT1G01310	AT1G01310	4.0	0.7	0.9	0.5	0.3	0.3	0.2	0.1	0.9	0.6
AT1G01320	AT1G01320	31.0	27.0	21.0	30.0	14.0	28.0	29.0	27.0	31.0	37.0
AT1G01340	CNGC10		0.5		0.2	0.2	0.2	0.1	0.1	0.3	0.2
AT1G01350	AT1G01350	32.0	16.0	17.0	25.0	11.0	19.0	23.0	19.0	20.0	19.0
AT1G01360	PYL9	8.0	5.0	5.0	6.0	5.0	5.0	6.0	5.0	9.0	15.0
AT1G01370	HTR12	16.0	14.0	14.0	21.0	23.0	20.0	24.0	19.0	19.0	20.0
AT1G01380	ETC1	3.0	2.0	2.0	2.0	1.0	0.9	0.8	0.6	1.0	1.0
AT1G01390	AT1G01390		0.4	0.1		0.3	0.1				
AT1G01420	UGT72B3	0.2	0.8	0.6	0.2	0.4	0.1	0.1			
AT1G01430	TBL25	13.0	8.0	9.0	7.0	7.0	8.0	6.0	7.0	8.0	8.0
AT1G01440	AT1G01440	6.0	6.0	4.0	8.0	4.0	6.0	8.0	7.0	7.0	8.0
AT1G01448	AT1G01448	0.8	1.0	0.9	1.0	2.0	1.0	2.0	2.0	2.0	3.0
AT1G01450	AT1G01450								0.1		
AT1G01460	PIP5K10									0.2	0.2
AT1G01470	LEA14	29.0	39.0	52.0	20.0	13.0	13.0	6.0	4.0	0.5	0.5
